"FastLane.Proposal.Number","Last.Name","First.Name","Institution.or.Affiliation","Conflicted.with.Person..Last.Name.","Conflicted.with.Person..First.Name.","Type.of.Conflict"
"","Adai","Alex",NA,"Fertig","E","Co-Author"
"","Adkins","Douglas","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri. The Alvin J. Siteman Cancer Center, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Afsari","Bahman","Oncology Biostatistics and Bioinformatics, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins Medical Institutes","Fertig","E","Co-Author"
"","Agrawal","Nishant","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, Maryland. Ludwig Center for Cancer Genetics and Therapeutics, Howard Hughes Medical Institute, and the Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, Maryland. Department of Surgery, Section of Otolaryngology-Head and Neck Surgery, The University of Chicago, Chicago, Illinois States. nishant.agrawal@uchicago.edu nagrawal@jhmi.edu Patrick.Ha@ucsf.edu vogelbe@jhmi","Fertig","E","Co-Author"
"","Ahn","Julie","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Ahn","Sun",NA,"Fertig","E","Co-Author"
"","Ahn","Sun Mi","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Ajina","Reham","Department of Oncology and Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, 3970 Reservoir Road NW, Washington DC, 20057, USA","Fertig","E","Co-Author"
"","An","Steven S","In Vivo Cellular and Molecular Imaging Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Annadanam","Anvesh","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Archer","Tenley C","Department of Neurology, Boston Children's Hospital, Boston, Massachusetts","Fertig","E","Co-Author"
"","Arias-Pulido","Hugo",NA,"Fertig","E","Co-Author"
"","Arnaoutakis","Demetri",NA,"Fertig","E","Co-Author"
"","Aziz","Khaled",NA,"Fertig","E","Co-Author"
"","Bader","Joel","JHU","Fertig","E","Collaborator"
"","Baia","Gilson","Champions Oncology, Baltimore, MD 21205, USA","Fertig","E","Co-Author"
"","Bauman","Julie E","Department of Internal Medicine, Division of Hematology/Oncology, University of Pittsburgh, Pittsburgh, PA, USA. baumanje@upmc","Fertig","E","Co-Author"
