FastLane Proposal Number,Last Name,First Name,Institution or Affiliation,Conflicted with Person (Last Name),Conflicted with Person (FirstName),Type of Conflict
,Adkins,Douglas,Wash U,Fertig,Elana,Co-Author
,Afsari,Bahman,JHU,Fertig,Elana,Postdoctoral Advisee
,Agrawal,Nishant,U Chicago,Fertig,Elana,Co-Author
,Ahn,Julie,JHU,Fertig,Elana,Co-Author
,Ahn,Sun Mi,JHU,Fertig,Elana,Co-Author
,Ajina,Reham,Georgetown,Fertig,Elana,Co-Author
,An,Steven S,JHU,Fertig,Elana,Co-Author
,Annadanam,Anvesh,JHU,Fertig,Elana,Co-Author
,Archer,Tenley C,Boston Children's,Fertig,Elana,Co-Author
,Bader,Joel,JHU,Fertig,Elana,Collaborator
,Baia,Gilson,Champions Oncology,Fertig,Elana,Co-Author
,Bauman,Julie E,U Pitt,Fertig,Elana,Co-Author
,Bedi,Atul,JHU,Fertig,Elana,Co-Author
,Ben-Zvi,Ido,Champions Oncology,Fertig,Elana,Co-Author
,Bishop,Justin A,JHU,Fertig,Elana,Co-Author
,Blackford,Amanda L,JHU,Fertig,Elana,Co-Author
,Boca,Simina,Georgetown,Fertig,Elana,Collaborator
,Brait,Mariana,JHU,Fertig,Elana,Co-Author
,Brown,C Titus,UC Davis,Fertig,Elana,Collaborator
,Bruckheimer,Elizabeth,Champions Oncology,Fertig,Elana,Co-Author
,Burns,Timothy F,U Pitt,Fertig,Elana,Co-Author
,Burtness,B,Yale,Fertig,Elana,Co-Author
,Cades,Jessica,JHU,Fertig,Elana,Co-Author
,Califano,Joseph,UCSD,Fertig,Elana,K Award Mentor
,Carey,Jacob L,JHU,Fertig,Elana,Co-Author
,Chang,Xiaofei,JHU,Fertig,Elana,Co-Author
,Chavan,Sameer,UC Denver,Fertig,Elana,Co-Author
,Cheng,Haixia,U Utah,Fertig,Elana,Co-Author
,Chettiar,Sivarajan T,JHU,Fertig,Elana,Co-Author
,Chung,Christine H,Moffitt,Fertig,Elana,Co-Author
,Ciznadija,Daniel,Champions Oncology,Fertig,Elana,Co-Author
,Colantuoni,Carlo,JHU,Fertig,Elana,Co-Author
,Considine,Michael,JHU,Fertig,Elana,Co-Author
,Cope,Leslie,JHU,Fertig,Elana,Co-Author
,Danilova,Ludmila,JHU,Fertig,Elana,Co-Author
,Diaz,Luis A,JHU,Fertig,Elana,Co-Author
,El-Naggar,Adel K,MD Anderson,Fertig,Elana,Co-Author
,Ellis,Matthew J,Harvard,Fertig,Elana,Co-Author
,Engelmann,Guido,"Lukas Hospital, Germany",Fertig,Elana,Co-Author
,Ewald,Andrew,JHU,Fertig,Elana,Collaborator
,Faherty,Brian,JHU,Fertig,Elana,Co-Author
,Fakhry,Carole,JHU,Fertig,Elana,Co-Author
,Favorov,Alexander V,JHU,Fertig,Elana,Co-Author
,Fertig,Benjamin,Ronin Institute,Fertig,Elana,Co-Author
,Firulli,Anthony B,Indiana U,Fertig,Elana,Co-Author
,Firulli,Beth A,Indiana U,Fertig,Elana,Co-Author
,Flam,Emily,U Penn,Fertig,Elana,Co-Author
,Forastiere,A A,JHU,Fertig,Elana,Co-Author
,Fortin,Jean-Philippe,U Penn,Fertig,Elana,Co-Author
,Frederick,Mitchell J,JHU,Fertig,Elana,Co-Author
,Gajula,Rajendra P,JHU,Fertig,Elana,Co-Author
,Gandy,Lisa M,CMU,Fertig,Elana,Co-Author
,Garcia,J,Mayo Clinic,Fertig,Elana,Co-Author
,Gaykalova,Daria A,JHU,Fertig,Elana,Co-Author
,Geman,Donald,JHU,Fertig,Elana,Co-Author
,Gilbert,J,Vanderbilt,Fertig,Elana,Co-Author
,Gillison,Maura L,MD Anderson,Fertig,Elana,Co-Author
,Goff,L,JHU,Fertig,Elana,Collaborator
,Gosline,Sara J C,Sage,Fertig,Elana,Co-Author
,Greene,Casey,U Penn,Fertig,Elana,Collaborator
,Guerrero-Preston,Rafael,JHU,Fertig,Elana,Co-Author
,Gumm,Jordan,CMU,Fertig,Elana,Co-Author
,Guo,Theresa,JHU,Fertig,Elana,Co-Author
,Gutkind,J Silvio,UCSD,Fertig,Elana,Co-Author
,Ha,Patrick K,UCSF,Fertig,Elana,Co-Author
,Hadar,Tal,JHU,Fertig,Elana,Co-Author
,Hafner,Marc,Harvard,Fertig,Elana,Co-Author
,Hansen,Kasper,JHU,Fertig,Elana,Co-Author
,Hartman,Zachary C,Duke,Fertig,Elana,Co-Author
,Hennessey,Patrick,JHU,Fertig,Elana,Co-Author
,Herrlich,Andreas,Wash U,Fertig,Elana,Co-Author
,Hoque,Mohammad O,JHU,Fertig,Elana,Co-Author
,Howard,Jason D,JHU,Fertig,Elana,Co-Author
,Hughes,Robert M,JHU,Fertig,Elana,Co-Author
,Hughes,Shannon K,NCI,Fertig,Elana,Co-Author
,Ideker,Trey,UCSD,Fertig,Elana,Co-Author
,Izumchenko,Evgeny,JHU,Fertig,Elana,Co-Author
,Jablonski,Sandra A,Georgetown,Fertig,Elana,Co-Author
,Jaffe,Andrew,Lieber Institute,Fertig,Elana,Co-Author
,Jin,Kideok,JHU,Fertig,Elana,Co-Author
,Jones,Lamont,Wash U,Fertig,Elana,Co-Author
,Jones,Sian,Personal Genome Diagnostics,Fertig,Elana,Co-Author
,Jordan,Richard C,UCSF,Fertig,Elana,Co-Author
,Joughin,Brian A,MIT,Fertig,Elana,Co-Author
,Kagohara,Luciane T,JHU,Fertig,Elana,Postdoctoral Advisee
,Kang,Hyunseok,JHU,Fertig,Elana,Co-Author
,Karchin,Rachel,JHU,Fertig,Elana,Co-Author
,Kato,Yoshinori,JHU,Fertig,Elana,Co-Author
,Kelley,Dylan Z,JHU,Fertig,Elana,Co-Author
,Kelton,Conor,TCNJ,Fertig,Elana,Co-Author
,Kennish,Michael J,Rutgers,Fertig,Elana,Co-Author
,Khan,Zubair,JHU,Fertig,Elana,Co-Author
,Khor,Tin Oo,Champions Oncology,Fertig,Elana,Co-Author
,Kim Lyerly,H,Duke,Fertig,Elana,Co-Author
,Kimple,Randall J,U Wisconsin Madison,Fertig,Elana,Co-Author
,Kinzler,Kenneth W,JHU,Fertig,Elana,Co-Author
,Koch,Wayne M,JHU,Fertig,Elana,Co-Author
,Kong,Christina S,Stanford,Fertig,Elana,Co-Author
,Krigsfeld,Gabriel,JHU,Fertig,Elana,Co-Author
,Le,Quynh-Thu,Stanford,Fertig,Elana,Co-Author
,Lee,Esak,JHU,Fertig,Elana,Co-Author
,Lee,J W,Dana Farber,Fertig,Elana,Co-Author
,Lee,Wai Shing,NIH,Fertig,Elana,Co-Author
,Leek,Jeffrey T,JHU,Fertig,Elana,Co-Author
,Lewis,James,Wash U,Fertig,Elana,Co-Author
,Li,Ryan,JHU,Fertig,Elana,Co-Author
,Li,Sijia,JHU,Fertig,Elana,Co-Author
,Li,Yifeng,NRC Canada,Fertig,Elana,Collaborator
,Lim,Sora,Wash U,Fertig,Elana,Co-Author
,Ling,Shizhang,JHU,Fertig,Elana,Co-Author
,Long,Samuel,Leidos Biomedical Research,Fertig,Elana,Co-Author
,Loyo,Myriam,JHU,Fertig,Elana,Co-Author
,Maher,Christopher A,Wash U,Fertig,Elana,Co-Author
,Makarev,Eugene,"Insilico Medicine, Inc",Fertig,Elana,Co-Author
,Malek,Reem,JHU,Fertig,Elana,Co-Author
,Manola,Judith B,Dana Farber,Fertig,Elana,Co-Author
,Marchionni,Luigi,JHU,Fertig,Elana,Co-Author
,Markovic,Ana,Amgen,Fertig,Elana,Co-Author
,Mazzacurati,Lucia,U Pitt,Fertig,Elana,Co-Author
,McKay,Ronald D,Lieber Institute,Fertig,Elana,Co-Author
,Meyer,Aaron S,MIT,Fertig,Elana,Co-Author
,Michailidi,Christina,JHU,Fertig,Elana,Co-Author
,Michel,Loren S,Wash U,Fertig,Elana,Co-Author
,Morton,Kathryn,JHU,Fertig,Elana,Co-Author
,Murphy,B A,Vanderbilt,Fertig,Elana,Co-Author
,Myers,Jeffrey N,JHU,Fertig,Elana,Co-Author
,Nallur,S,JHU,Fertig,Elana,Co-Author
,Ngom,Alioune,U Windsor,Fertig,Elana,Collaborator
,Niknafs,Noushin,JHU,Fertig,Elana,Co-Author
,Noordhuis,Maartje G,JHU,Fertig,Elana,Co-Author
,Nugent,Katriana,JHU,Fertig,Elana,Co-Author
,Ochs,Michael F,TCNJ,Fertig,Elana,Postdoctoral Advisee
,Ozawa,Hiroyuki,JHU,Fertig,Elana,Co-Author
,Pallavajjala,Aparna,JHU,Fertig,Elana,Co-Author
,Pandey,Niranjan B,JHU,Fertig,Elana,Co-Author
,Papadopoulos,Nickolas,JHU,Fertig,Elana,Co-Author
,Paranjape,T,JHU,Fertig,Elana,Co-Author
,Parker,Hilary S,Stitch Fix,Fertig,Elana,Thesis Committee Mentor
,Paz,Keren,Champions Oncology,Fertig,Elana,Co-Author
,Perez,Jimena,JHU,Fertig,Elana,Co-Author
,Piccolo,Stephen R,Brigham Young,Fertig,Elana,Co-Author
